Unified_url,Reachable_URL,Way_back_archived,Freenom_top_level_domain,Previous_malicious_top_level_domain_TLD,Name_length,Wrong_spell_List,Longest_word_ratio,Special_mark,sub_domain,Contain_Weried_number_combination,levenshtein_distance,Alexa_rank,Status_code,start_date,wildcard_subdomain,Redirect_URL,Created on 2020
https://akkure4covid.com,0,1,0,0,7,0,0.09090909090909093,0,1,0,5,0,503,2020,0,0,1
https://api.contracovid.com.br,1,0,0,0,7,0,0.07142857142857142,0,3,0,10,0,200,2020,0,0,0
https://app.contracovid.com.br,1,0,0,0,7,0,0.07142857142857142,0,3,0,10,0,200,2020,0,0,0
https://auxilio.caixa.gov.br,1,1,0,0,8,0,0.07692307692307693,0,3,0,13,1,200,1989,0,0,0
https://bag-coronavirus.ch,1,1,0,0,4,0,0.08333333333333333,1,1,0,6,1,200,1987,0,0,0
https://bag-coronavirus.ch,1,1,0,0,4,0,0.08333333333333333,1,1,0,6,1,200,1987,0,0,0
https://block-covid.org,1,1,0,0,5,0,0.09523809523809523,1,1,0,5,0,200,2020,0,0,0
https://campanhacoronavirus.barro.ce.gov.br,1,0,0,0,10,0,0.04878048780487805,0,4,0,19,0,200,1996,0,0,0
https://ciis.fmrp.usp.br,0,0,0,0,7,0,0.09090909090909093,0,3,0,11,1,511,1989,0,0,0
https://co19.oracle.com,0,0,0,0,5,0,0.09523809523809523,0,2,0,6,1,403,1988,0,0,0
https://combateaocoronavirus.feira.br,1,0,0,0,7,0,0.057142857142857134,0,2,0,14,0,200,2020,0,0,0
https://contracovid.com.br,1,0,0,0,6,0,0.08333333333333333,0,2,0,7,0,200,2020,0,0,0
https://corona-data.ch,0,1,0,0,4,0,0.1,1,1,0,6,1,598,1987,0,0,0
https://corona-stats.co.za,0,1,0,0,5,0,0.08333333333333333,1,2,0,8,1,503,1990,1,0,0
https://coronamadrid.com,0,1,0,0,4,0,0.09090909090909093,0,1,0,4,1,403,2020,0,0,1
https://coronavirus.alemparaiba.mg.gov.br,1,0,0,0,8,0,0.05128205128205128,0,4,0,17,1,200,1989,0,0,0
https://coronavirus.amazonas.am.gov.br,0,0,0,0,6,0,0.05555555555555555,0,4,0,14,1,598,1989,0,0,0
https://coronavirus.ceara.gov.br,1,1,0,0,6,0,0.06666666666666668,0,3,0,9,1,200,1989,0,0,0
https://coronavirus.cl,0,0,0,0,3,0,0.1,0,1,0,4,0,503,2020,1,0,0
https://coronavirus.datafree.co,1,1,0,0,5,0,0.06896551724137931,0,2,0,7,1,200,2018,1,0,0
https://coronavirus.es,1,1,0,0,3,0,0.1,0,1,0,5,1,200,1988,0,0,0
https://coronavirus.es.gov.br,1,1,0,0,5,0,0.07407407407407407,0,3,0,7,1,200,1989,0,0,0
https://coronavirus.fapce.edu.br,1,0,0,0,7,0,0.06666666666666668,0,3,0,10,1,200,1989,0,0,0
https://coronavirus.gob.es,1,0,0,0,4,0,0.08333333333333333,0,2,0,7,0,200,1988,0,0,0
https://coronavirus.informa.poli.ufrj.br,0,0,0,0,9,0,0.05263157894736842,0,4,0,16,1,598,1989,0,0,0
https://coronavirus.itaborai.rj.gov.br,1,0,0,0,9,0,0.05555555555555555,0,4,0,14,1,200,1989,0,0,0
https://coronavirus.jhu.edu,1,1,0,0,5,0,0.08,0,2,0,7,1,200,1987,0,0,0
https://coronavirus.ms.gov.br,0,0,0,0,5,0,0.07407407407407407,0,3,0,6,1,503,1989,0,0,0
https://coronavirus.navirai.ms.gov.br,1,0,0,0,7,0,0.057142857142857134,0,4,0,14,1,200,1989,0,0,0
https://coronavirus.pr.gov.br,0,0,0,0,5,0,0.07407407407407407,0,3,0,8,1,511,1989,0,0,0
https://coronavirus.pucgoias.edu.br,1,0,0,0,8,0,0.060606060606060615,0,3,0,13,1,200,1989,0,0,0
https://coronavirus.rj.gov.br,1,1,0,0,5,0,0.07407407407407407,0,3,0,8,1,200,1989,0,0,0
